symbol,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600085_2018q4,-0.1889,-0.8638,197777408,0.207
SHSE.600089_2018q4,-1.859,3.2451,-1413874688,-0.0313
SHSE.600153_2018q4,8.778,1.16,5596635136,1.04
SZSE.000333_2018q4,-4.6781,-2.2339,264265728,0.36
SHSE.600208_2018q4,0.3718,22.4914,1832665088,0.084
SHSE.600170_2018q4,1.2999,4.1118,-2613798912,0.1
SHSE.600221_2018q4,-8.9815,-2.7546,-47083040768,-0.273
SZSE.000338_2018q4,1.1876,-0.8739,-2466529280,0.33
SHSE.600219_2018q4,-1.5566,-6.5611,4273234944,0
SHSE.600176_2018q4,-1.7503,-2.5197,-1694004224,0.316
SHSE.600177_2018q4,1.5752,33.8334,3720382464,0.38
SHSE.600183_2018q4,-1.6454,-4.6697,80551680,0.09
SHSE.600233_2018q4,1.8402,-7.2888,3254143488,0.2304
SZSE.000413_2018q4,1.2176,-44.9504,-4284229632,0.15
SHSE.600188_2018q4,0.9653,8.0002,2440231936,0.4896
SZSE.000415_2018q4,-2.9072,10.5926,12325007232,-0.0252
SHSE.600196_2018q4,-0.2088,-5.5401,1171348136,0.24
SZSE.000423_2018q4,3.6349,1.6955,786860544,1.3147
SZSE.000425_2018q4,0.0595,-5.7178,1993338880,0.066
SHSE.603833_2018q4,-1.0608,-0.2069,207066688,0.92
SHSE.600309_2018q4,-13.2008,-5.2319,-6161096960,0.58
SHSE.600271_2018q4,4.2518,-18.8448,443614208,0.4125
SHSE.600276_2018q4,0.278,2.1223,691783680,0.31
SHSE.600332_2018q4,-5.646,14.4422,-431872000,0.001
SHSE.603799_2018q4,-13.8078,-14.2076,-403503104,-0.46
SHSE.600340_2018q4,2.1433,-5.6184,2367160320,1.25
SHSE.600346_2018q4,-6.2193,-7.9179,-8010286080,-0.08
SHSE.600297_2018q4,-2.7002,-3.979,-83408896,0.0102
SHSE.600352_2018q4,-1.0263,-3.5486,-2040115200,0.2866
SHSE.600299_2018q4,-0.1693,-2.1043,-263399936,0.09
SHSE.600406_2018q4,4.0546,-7.2722,237701120,0.41
SHSE.600362_2018q4,-0.5988,0.3301,-1465075712,0.12
SZSE.000538_2018q4,-11.4892,0.1793,17572126720,0.56
SHSE.600372_2018q4,2.0883,-5.1714,-1454782976,0.1336
SHSE.600369_2018q4,-0.8677,-2.1453,0,-0.01
SHSE.603899_2018q4,-1.6376,-2.0328,164373504,0.198
SHSE.600383_2018q4,1.9822,-25.6532,-727465984,0.63
SHSE.600390_2018q4,0.0006,-0.3649,-1999362048,0.1501
SHSE.600436_2018q4,-2.761,-2.3164,207337984,0.37
SHSE.600438_2018q4,-1.5819,-3.5168,-3626521600,0.0925
SZSE.300003_2018q4,-4.0115,0.7484,-482209600,0.0422
SZSE.000568_2018q4,-1.6904,-1.6418,-520211456,0.502
SHSE.600398_2018q4,-1.4391,0.3586,1025688064,0.19
SZSE.000625_2018q4,-1.8317,-14.0687,-1356729600,-0.1
SZSE.000630_2018q4,-1.0125,1.4843,-67482368,0.007
SHSE.601006_2018q4,-2.0753,-4.3309,1296898048,0.16
SZSE.000627_2018q4,-3.0477,6.0107,6793139200,0.07
SHSE.601012_2018q4,1.5704,-0.8846,936716288,0.32
SZSE.300015_2018q4,-3.5877,-5.439,17458176,0.0453
SZSE.000629_2018q4,1.5988,-3.989,1001687040,0.1214
SHSE.601009_2018q4,-1.0386,1.5853,0,0.25
SHSE.603986_2018q4,-4.5412,-2.8048,7284096,0.1298
SZSE.300017_2018q4,-0.2789,-4.0213,-126764288,0.0776
SHSE.603993_2018q4,-2.1687,-5.9085,412258304,0.025
SHSE.600516_2018q4,-7.4665,-35.9461,1535369216,0.6805
SHSE.601021_2018q4,-3.5529,-1.3095,-886562816,0.09
SZSE.300024_2018q4,0.1231,2.3674,25923584,0.078
SHSE.600522_2018q4,-0.4544,3.0826,-712541184,0.1592
SHSE.601018_2018q4,-0.9542,-6.3572,-3719537920,0.037
SHSE.600519_2018q4,0.435,2.8648,11567792128,8.33
SZSE.000596_2018q4,-0.4703,-1.8918,826331136,0.88
SZSE.000651_2018q4,-3.5851,-0.6095,3220791296,0.85
SZSE.300033_2018q4,5.768,6.1449,284051456,0.59
SHSE.600482_2018q4,0.1212,3.2457,-14567424,0.21
