id,label,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600085_201901,0,-0.1889,-0.8638,197777408,0.207
SHSE.600085_201902,0,-0.1889,-0.8638,197777408,0.207
SHSE.600085_201903,0,-0.1889,-0.8638,197777408,0.207
SHSE.600085_201904,0,1.9871,0.5055,502252544,-0.572
SHSE.600085_201905,0,1.9871,0.5055,502252544,-0.572
SHSE.600085_201906,0,1.9871,0.5055,502252544,-0.572
SHSE.600085_201907,0,-0.7871,-8.2477,-111557632,0.227
SHSE.600085_201908,0,-0.7871,-8.2477,-111557632,0.227
SHSE.600085_201909,0,-0.7871,-8.2477,-111557632,0.227
SHSE.600085_201910,0,-2.1361,-3.4278,646758400,0.138
SHSE.600085_201911,0,-2.1361,-3.4278,646758400,0.138
SHSE.600085_201912,0,-2.1361,-3.4278,646758400,0.138
SHSE.600085_202001,0,-2.1361,-3.4278,646758400,0.138
SHSE.600085_202002,0,-2.1361,-3.4278,646758400,0.138
SHSE.600085_202003,0,-2.1361,-3.4278,646758400,0.138
SHSE.600089_201901,0,-1.859,3.2451,-1413874688,-0.0313
SHSE.600089_201902,0,-1.859,3.2451,-1413874688,-0.0313
SHSE.600089_201903,0,-1.859,3.2451,-1413874688,-0.0313
SHSE.600089_201904,0,-1.0597,-3.5,5939725312,-0.3697
SHSE.600089_201905,0,-1.0597,-3.5,5939725312,-0.3697
SHSE.600089_201906,0,-1.0597,-3.5,5939725312,-0.3697
SHSE.600089_201907,0,1.0327,-8.4409,88209408,0.1613
SHSE.600089_201908,0,1.0327,-8.4409,88209408,0.1613
SHSE.600089_201909,0,1.0327,-8.4409,88209408,0.1613
SHSE.600089_201910,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600089_201911,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600089_201912,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600089_202001,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600089_202002,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600089_202003,0,0.3341,-1.4822,-2274358272,0.1669
SHSE.600153_201901,0,8.778,1.16,5596635136,1.04
SHSE.600153_201902,0,8.778,1.16,5596635136,1.04
SHSE.600153_201903,0,8.778,1.16,5596635136,1.04
SHSE.600153_201904,0,-11.9244,-17.5086,4433199104,-1.49
SHSE.600153_201905,0,-11.9244,-17.5086,4433199104,-1.49
SHSE.600153_201906,0,-11.9244,-17.5086,4433199104,-1.49
SHSE.600153_201907,0,3.6673,-0.1505,-2227003392,0.33
SHSE.600153_201908,0,3.6673,-0.1505,-2227003392,0.33
SHSE.600153_201909,0,3.6673,-0.1505,-2227003392,0.33
SHSE.600153_201910,0,-1.2362,4.1819,1250656256,0.15
SHSE.600153_201911,0,-1.2362,4.1819,1250656256,0.15
SHSE.600153_201912,0,-1.2362,4.1819,1250656256,0.15
SHSE.600153_202001,0,-1.2362,4.1819,1250656256,0.15
SHSE.600153_202002,0,-1.2362,4.1819,1250656256,0.15
SHSE.600153_202003,0,-1.2362,4.1819,1250656256,0.15
SZSE.000333_201901,0,-4.6781,-2.2339,264265728,0.36
SZSE.000333_201902,0,-4.6781,-2.2339,264265728,0.36
SZSE.000333_201903,0,-4.6781,-2.2339,264265728,0.36
SZSE.000333_201904,0,2.5915,-0.8096,12520243200,-2.14
SZSE.000333_201905,0,2.5915,-0.8096,12520243200,-2.14
SZSE.000333_201906,0,2.5915,-0.8096,12520243200,-2.14
